timestamp,open,high,low,close,volume
2025-08-12,222.2300,223.5000,219.0500,221.4700,37254707
2025-08-11,221.7800,223.0500,220.4000,221.3000,31646222
2025-08-08,223.1400,223.8000,221.8836,222.6900,32970477
2025-08-07,221.0000,226.2200,220.8200,223.1300,40603513
2025-08-06,214.6950,222.6500,213.7409,222.3100,54823045
2025-08-05,213.0500,216.3000,212.8700,213.7500,51505121
2025-08-04,217.4000,217.4400,211.4200,211.6500,77890146
2025-08-01,217.2100,220.4399,212.8000,214.7500,122258801
2025-07-31,235.7700,236.5300,231.4000,234.1100,104357263
2025-07-30,231.6400,231.8000,229.2900,230.1900,32993273
2025-07-29,234.1500,234.7200,230.3100,231.0100,33716220
2025-07-28,233.3500,234.2900,232.2500,232.7900,26300138
